class_index,synset,wordnet_id,gloss,wikilinks,supercategory,val_sample_paths
0,"tench, Tinca tinca",n01440764,freshwater dace-like game fish of Europe and western Asia noted for ability to survive outside water,['https://en.wikipedia.org/wiki/Tench'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00011233.JPEG', 'ILSVRC2012_val_00003014.JPEG', 'ILSVRC2012_val_00030740.JPEG', 'ILSVRC2012_val_00010306.JPEG', 'ILSVRC2012_val_00026064.JPEG']"
1,"goldfish, Carassius auratus",n01443537,small golden or orange-red freshwater fishes of Eurasia used as pond or aquarium fishes,['https://en.wikipedia.org/wiki/Goldfish'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00037846.JPEG', 'ILSVRC2012_val_00034386.JPEG', 'ILSVRC2012_val_00046969.JPEG', 'ILSVRC2012_val_00019459.JPEG', 'ILSVRC2012_val_00021905.JPEG']"
2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",n01484850,large aggressive shark widespread in warm seas; known to attack humans,['https://en.wikipedia.org/wiki/Great_white_shark'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00029481.JPEG', 'ILSVRC2012_val_00008848.JPEG', 'ILSVRC2012_val_00045730.JPEG', 'ILSVRC2012_val_00031466.JPEG', 'ILSVRC2012_val_00027514.JPEG']"
3,"tiger shark, Galeocerdo cuvieri",n01491361,large dangerous warm-water shark with striped or spotted body,['https://en.wikipedia.org/wiki/Tiger_shark'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00024895.JPEG', 'ILSVRC2012_val_00024854.JPEG', 'ILSVRC2012_val_00030658.JPEG', 'ILSVRC2012_val_00034413.JPEG', 'ILSVRC2012_val_00036420.JPEG']"
4,"hammerhead, hammerhead shark",n01494475,medium-sized live-bearing shark with eyes at either end of a flattened hammer-shaped head; worldwide in warm waters; can be dangerous,['https://en.wikipedia.org/wiki/Hammerhead_shark'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00049166.JPEG', 'ILSVRC2012_val_00007405.JPEG', 'ILSVRC2012_val_00047320.JPEG', 'ILSVRC2012_val_00023074.JPEG', 'ILSVRC2012_val_00034115.JPEG']"
5,"electric ray, crampfish, numbfish, torpedo",n01496331,any sluggish bottom-dwelling ray of the order Torpediniformes having a rounded body and electric organs on each side of the head capable of emitting strong electric discharges,['https://en.wikipedia.org/wiki/Electric_ray'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00045936.JPEG', 'ILSVRC2012_val_00005432.JPEG', 'ILSVRC2012_val_00008963.JPEG', 'ILSVRC2012_val_00008749.JPEG', 'ILSVRC2012_val_00009420.JPEG']"
6,stingray,n01498041,large venomous ray with large barbed spines near the base of a thin whiplike tail capable of inflicting severe wounds,['https://en.wikipedia.org/wiki/Stingray'],"Reptiles, fish, amphibians","['ILSVRC2012_val_00046497.JPEG', 'ILSVRC2012_val_00036157.JPEG', 'ILSVRC2012_val_00027415.JPEG', 'ILSVRC2012_val_00002480.JPEG', 'ILSVRC2012_val_00038215.JPEG']"
7,cock,n01514668,adult male bird,['https://en.wikipedia.org/wiki/Rooster'],Birds,"['ILSVRC2012_val_00048952.JPEG', 'ILSVRC2012_val_00019423.JPEG', 'ILSVRC2012_val_00004306.JPEG', 'ILSVRC2012_val_00016781.JPEG', 'ILSVRC2012_val_00009510.JPEG']"
8,hen,n01514859,adult female bird,['https://en.wikipedia.org/wiki/Hen'],Birds,"['ILSVRC2012_val_00028107.JPEG', 'ILSVRC2012_val_00045551.JPEG', 'ILSVRC2012_val_00042135.JPEG', 'ILSVRC2012_val_00026271.JPEG', 'ILSVRC2012_val_00044276.JPEG']"
9,"ostrich, Struthio camelus",n01518878,fast-running African flightless bird with two-toed feet; largest living bird,['https://en.wikipedia.org/wiki/Common_ostrich'],Birds,"['ILSVRC2012_val_00004983.JPEG', 'ILSVRC2012_val_00035785.JPEG', 'ILSVRC2012_val_00031239.JPEG', 'ILSVRC2012_val_00023778.JPEG', 'ILSVRC2012_val_00036105.JPEG']"
