WorkerId,Input.wordnet_id,Input.class_index,Input.feature_index,Input.feature_rank,Answer.main,Answer.confidence,Answer.reasons
52,n01440764,0,59,1,main_object,4.0,focus is on body of tench
22,n01440764,0,59,1,main_object,4.0,focus is on part of the tench
229,n01440764,0,59,1,main_object,5.0,The focus of the red region in the Highlighted visual attributes is on tench fish.
186,n01440764,0,59,1,main_object,5.0,focus is on main body part of Tinca tinca.
234,n01440764,0,59,1,main_object,4.0,The main obect is tench whose some part got focus.
52,n01440764,0,686,2,main_object,4.0,focus is on body of tench
229,n01440764,0,686,2,main_object,5.0,The focus of the red region in the Highlighted visual attributes is on the tench fish.
142,n01440764,0,686,2,main_object,5.0,Focus is on the middle part of the body of the tench.
69,n01440764,0,686,2,main_object,5.0,Focus is on the abdomen of the fish which is a part of the main object.
234,n01440764,0,686,2,main_object,4.0,The main obect is tench whose some part got focus.
22,n01440764,0,701,3,main_object,4.0,focus is on part of the tench
234,n01440764,0,701,3,main_object,4.0,The main obect is tench whose some part got focus.
142,n01440764,0,701,3,main_object,5.0,Focus is on the middle part of the body of the tench fish.
63,n01440764,0,701,3,main_object,5.0,focus is on the whole body of Tinca tinca
136,n01440764,0,701,3,main_object,4.0,focus is on stomach which is a part of Tinca tinca
186,n01440764,0,2030,4,main_object,5.0,focus is on main body part of Tinca tinca.
52,n01440764,0,2030,4,main_object,4.0,focus is on body of tench
136,n01440764,0,2030,4,main_object,4.0,focus is on belly which is a part of tench
229,n01440764,0,2030,4,main_object,5.0,The focus of the red region in the Highlighted visual attributes is on tench fish.
142,n01440764,0,2030,4,main_object,5.0,Focus is on the middle part of the body of the tench fish.
52,n01440764,0,1696,5,main_object,4.0,focus is on body of tench
229,n01440764,0,1696,5,main_object,5.0,The focus of the red region in the Highlighted visual attributes is on tench fish.
23,n01440764,0,1696,5,separate_object,5.0,focus in on the hands of a man and tench.
82,n01440764,0,1696,5,separate_object,4.0,Focus is on above the fins of the Tinca tinca.
186,n01440764,0,1696,5,main_object,5.0,all images have focus on main body part of Tinca tinca (object)
233,n01443537,1,316,1,main_object,2.0,Focus is on the fish
185,n01443537,1,316,1,main_object,3.0,Body parts of the fish is on focus.
150,n01443537,1,316,1,main_object,5.0,Focus is on the goldfish's eye.
4,n01443537,1,316,1,main_object,5.0,good
72,n01443537,1,316,1,main_object,4.0,Focus of the red region in the highlighted visual attributes seems to on the parts that constitute the main object.
257,n01443537,1,495,2,main_object,5.0,"The majority of the red regions contain the color orange.  The object definition states that goldfish are golden or orange-red.  In addition some of the red regions contain fin shapes.  These match and look similar to the main object photos provided.  Comparing all this information, it is highly likely that the red regions contain some part of the main object."
176,n01443537,1,495,2,main_object,5.0,"The main object is an goldfish. The focus of the red region in the highlighted visual attributes is on the fish's head and body, showing their main parts. Because of that, I choose focus is on some part of the main object."
125,n01443537,1,495,2,main_object,5.0,The red region in the Highlighted visual attributes focuses on the goldfish.
185,n01443537,1,495,2,main_object,3.0,Yellow fish is highlighted in red colour.
115,n01443537,1,495,2,main_object,5.0,"Because the focus of the red color was at least somewhat on the main object in the highlighted visual attributes, in this case the goldfish."
233,n01443537,1,1845,3,main_object,2.0,Focus on the fish
185,n01443537,1,1845,3,main_object,3.0,Red focus is on the gold fish.
27,n01443537,1,1845,3,main_object,5.0,Images are fully focused on main object's body parts.
51,n01443537,1,1845,3,main_object,5.0,the focus is on the goldfish's body
240,n01443537,1,1845,3,main_object,3.0,It mostly focus on the orange-red freshwater fishes and also Its tail and Scales
188,n01443537,1,457,4,main_object,4.0,Heat map suggest the focus is on goldfish gills
63,n01443537,1,457,4,main_object,4.0,visual attribute is on the body of the fish. In few images the visual attribute is on the body and on on eye of the goldfish and on tail.
